No,Code,Loc,ID,Desc,EC,TA,TW,Q,Coordx,Coordy,Coordz,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH,GT1,GT2,GT3,GT4,GT5,GT6,GT7,GT8,GT9,GT10,GT11,GT12,GT13,GT14,GT15,GT16,GT17,GT18,GT19,GT20,GT21,GT22,GT23,GT24,GT25,GT26,18O,D,RE,Kelompok Data
35,43,"Flores Timur, NTT",Ap. Oka 3,,,42.5,,,,,,144.11,,,0.03,192,142.85,1182.41,113.51,0.15,,2122.88,155,113.5,,1.37,,,0,,2,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
36,44,"Flores Timur, NTT",Ap. Hading 1,,,46.5,,,,,,173.6,,,1.91,249.6,34.56,333,500,0.13,,444,368,96.2,,2.63,,,3.85,,2,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
37,45,"Flores Timur, NTT",Ap. Hading 2,,,40.6,,,,,,168.4,,,0.02,134.2,86.4,600,75,0.13,,987.46,388,172.69,,1.44,,,0,,3,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
38,46,"Flores Timur, NTT",T. Oka,,,33.1,,,,,,94.77,,,0.04,249.6,466.56,10000,500,0.1,,15382.86,2436.08,118.22,,2.88,,,0,,5,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
39,47,"Flores Timur, NTT",As. Hading,,,34.9,,,,,,169.1,,,0.05,57.6,28.8,194.92,75,0.12,,291.1,193,104.31,,1.44,,,1.11,,1,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
40,51,"Inielka, Flores Tengah",Mapa 1,,,34.5,,,,,740,107,,,0.96,112,25,27,6.8,21,,26,442,,,354,,,,,1,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
41,52,"Inielka, Flores Tengah",Mapa 2,,,41.8,,,,,750,150,,,7.7,148,40,51,15,18,,131,897,,,1257,,,,,1.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
42,53,"Inielka, Flores Tengah",Mapa 3,,,47.3,,,,,718,142,,,9.5,167,45,64,28,28,,339,1737,,,2757,,,,,3.2,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
43,54,"Inielka, Flores Tengah",Mapa 4,,,41.4,,,,,400,138,,,15.8,106,31,39,14,27,,90,600,,,945,,,,,1,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
44,55,"Inielka, Flores Tengah",Mapa 5,,,44,,,,,325,144,,,8,102,32,47,16,36,,99,597,,,1230,,,,,0.9,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
45,56,"Inielka, Flores Tengah",mapn,,,43.5,,,,,350,127,,,,39,17,29,7.6,8.4,,3,23,237,,125,,,,,<dl,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
46,57,"Inielka, Flores Tengah",mada,,,19.1,,,,,1405,144,,,,98,5.9,13,1.8,48,,1.6,653,,,128,,,,,<dl,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
47,58,"Inielka, Flores Tengah",sadn1,,,22.1,,,,,975,106,,,,29,10,11,3.6,7.9,,1.4,61,100,,46,,,,,<dl,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
48,59,"Inielka, Flores Tengah",Smapa1,,,32.5,,,,,325,140,,,9.5,105,32,43,15,25,,90,572,,,974,,,,,1.1,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
49,60,"Inielka, Flores Tengah",Smapa2,,,41.5,,,,,320,147,,,13.5,104,33,46,16,25,,91,571,,,1116,,,,,1,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
50,61,"Inielka, Flores Tengah",Smapa3,,,42.5,,,,,280,143,,,12.5,102,32,45,15,24,,90,577,,,1123,,,,,1,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
51,62,"Inielka, Flores Tengah",Sada,,,24.7,,,,,275,106,,,2.3,54,19,25,8.2,6.7,,37,222,,,423,,,,,1.5,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
52,71,Mataloko-upper,,,2500,,88.3,0,,,,,,34.7,,61,28.6,27.1,5.86,,,8.21,807,0,,,,,4.36,,0.43,,,,0.02,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
53,72,Mataloko-upper,,,873,,87.2,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
54,73,Mataloko-lower-1,,,490,,92,0,,,,,,,,17.7,8.7,17.1,5.1,0.03,,3.7,135,0,,,,,2.1,,0.07,,0.42,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
55,74,Mataloko-lower-2,,,1550,,94.6,0,,,,,,,,107,32.1,43.7,3.1,,,2.6,741,0,,,,,8.72,,0.29,,0.15,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
56,75,Mataloko-lower-2,,,1190,,84.9,0,,,,,,1.99,,29.3,17,18.3,8.61,,,4.31,303,0,,,,,1.04,,0.16,,0.17,,1.45,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
57,76,Nage-1,,,53000,,79.4,0.1666666667,,,,,,24.7,,78.6,30.2,14,36.6,0.3,,472,759,0,,,,,2.39,,4.81,1.43,0.12,,1.55,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
58,77,Nage-1,,,4740,,80,0.1666666667,,,,,,,,74.1,29.1,139,35,0.29,,443,761,0,,,,,,,4.78,1.35,0.03,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
59,78,Nage-2,,,48000,,73.2,0.1666666667,,,,,,22.5,,72.4,27.9,137,35,0.29,,400,757,0,,,,,2.98,,3.77,1.26,0.11,,1.25,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
60,79,Nage-2,,,4240,,73.4,0.1666666667,,,,,,,,70.4,27.5,131,33,0.27,,387,720,0,,,,,,,3.97,1.21,0.07,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
61,710,Nage-3,,,47000,,72,0.1666666667,,,,,,25.5,,71,27.3,125,31.8,0.26,,387,731,0,,,,,2.73,,4,1.18,0.11,,2,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
62,711,Keli Tiworiwu-1,,,1480,,52.8,0.015,,,,,,2.67,,136,50.4,74,30.5,0.02,,53.3,637,0,,,,,0.41,,0.71,0.13,0.12,,19,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
63,712,Keli Tiworiwu-2,,,2100,,72.1,0.015,,,,,,0.36,,221,78.5,128,67.7,,,115,1070,43.8,,,,,0.25,,1.01,0.28,0.11,,28.5,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
64,713,Bobo (Wai Putih),,,1700,,21,0,,,,,,,,80.3,30.4,28.9,4.2,,,3.3,695,0,,,,,,,1.15,,0.67,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
65,714,Bobo (Wae Putih),,,1420,,21.6,0,,,,,,,,51.5,19.7,21.5,4.42,,,4.95,512,0,,,,,0.39,,0.47,,,,11.5,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
